date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades
2019-04-01,09:30,09:30 AM,102.53,102.19,102.19,102.53,102.25,4478.0,457874.33,28.0
2019-04-01,09:31,09:31 AM,102.56,102.41,102.54,102.53,102.489,5998.0,614728.04,57.0
2019-04-01,09:32,09:32 AM,102.55,102.48,102.53,102.5,102.519,3276.0,335852.06,33.0
2019-04-01,09:33,09:33 AM,102.47,102.39,102.44,102.44,102.427,1450.0,148520.0,15.0
2019-04-01,09:34,09:34 AM,102.6,102.41,102.525,102.41,102.529,1322.0,135543.54,16.0
2019-04-01,09:35,09:35 AM,102.41,102.29,102.38,102.35,102.354,1535.0,157113.02,21.0
2019-04-01,09:36,09:36 AM,102.46,102.32,102.32,102.46,102.397,1274.0,130454.19,11.0
2019-04-01,09:37,09:37 AM,102.48,102.4,102.44,102.41,102.438,720.0,73755.0,8.0
2019-04-01,09:38,09:38 AM,102.33,102.23,102.33,102.23,102.295,801.0,81938.23,10.0
2019-04-01,09:39,09:39 AM,102.32,102.25,102.26,102.32,102.302,769.0,78669.97,9.0
2019-04-01,09:40,09:40 AM,102.44,102.37,102.4,102.425,102.4,1081.0,110694.54,12.0
2019-04-01,09:41,09:41 AM,102.535,102.42,102.445,102.535,102.473,692.0,70911.42,7.0
2019-04-01,09:42,09:42 AM,102.59,102.54,102.57,102.58,102.565,485.0,49744.25,9.0
2019-04-01,09:43,09:43 AM,102.635,102.555,102.575,102.555,102.609,2283.0,234257.675,15.0
2019-04-01,09:44,09:44 AM,102.675,102.62,102.62,102.635,102.662,6244.0,641025.11,27.0
2019-04-01,09:45,09:45 AM,102.675,102.59,102.655,102.625,102.632,4926.0,505565.46,25.0
2019-04-01,09:46,09:46 AM,102.685,102.595,102.595,102.685,102.631,1400.0,143683.0,13.0
2019-04-01,09:47,09:47 AM,102.725,102.66,102.675,102.675,102.686,4600.0,472357.5,23.0
2019-04-01,09:48,09:48 AM,102.69,102.58,102.675,102.58,102.671,2565.0,263350.36,17.0
2019-04-01,09:49,09:49 AM,102.605,102.565,102.565,102.6,102.586,800.0,82068.5,6.0
2019-04-01,09:50,09:50 AM,102.62,102.53,102.62,102.53,102.582,500.0,51291.0,4.0
2019-04-01,09:51,09:51 AM,102.61,102.535,102.535,102.61,102.573,1415.0,145141.07,17.0
2019-04-01,09:52,09:52 AM,102.72,102.72,102.72,102.72,102.72,200.0,20544.0,2.0
2019-04-01,09:53,09:53 AM,102.8,102.7,102.7,102.8,102.756,500.0,51378.0,4.0
2019-04-01,09:54,09:54 AM,102.73,102.69,102.73,102.69,102.711,332.0,34100.08,4.0
2019-04-01,09:55,09:55 AM,102.735,102.66,102.73,102.66,102.702,236.0,24237.78,3.0
2019-04-01,09:56,09:56 AM,102.685,102.66,102.66,102.68,102.677,400.0,41071.0,3.0
2019-04-01,09:57,09:57 AM,102.67,102.62,102.62,102.67,102.633,334.0,34279.37,6.0
2019-04-01,09:58,09:58 AM,102.67,102.65,102.66,102.67,102.662,1073.0,110156.18,9.0
2019-04-01,09:59,09:59 AM,102.59,102.54,102.59,102.54,102.551,279.0,28611.71,4.0
2019-04-01,10:00,10 AM,102.76,102.53,102.53,102.76,102.646,2694.0,276527.78,26.0
2019-04-01,10:01,10:01 AM,102.92,102.91,102.91,102.92,102.915,200.0,20583.0,2.0
2019-04-01,10:02,10:02 AM,103.04,102.93,102.94,103.035,103.017,2742.0,282472.7,18.0
2019-04-01,10:03,10:03 AM,103.03,102.96,103.03,102.97,102.983,11805.0,1215710.975,36.0
2019-04-01,10:04,10:04 AM,103.09,102.965,102.965,103.09,102.994,5825.0,599938.0,15.0
2019-04-01,10:05,10:05 AM,103.195,103.06,103.06,103.15,103.143,1011.0,104277.77,12.0
2019-04-01,10:06,10:06 AM,103.255,103.19,103.19,103.215,103.217,1473.0,152038.87,13.0
2019-04-01,10:07,10:07 AM,103.32,103.26,103.26,103.32,103.299,1225.0,126541.5,13.0
2019-04-01,10:08,10:08 AM,103.36,103.33,103.35,103.35,103.348,495.0,51157.2,5.0
2019-04-01,10:09,10:09 AM,103.425,103.34,103.34,103.425,103.4,1020.0,105467.7,12.0
2019-04-01,10:10,10:10 AM,103.44,103.41,103.435,103.425,103.428,2564.0,265189.455,24.0
2019-04-01,10:11,10:11 AM,103.48,103.42,103.42,103.48,103.454,1240.0,128283.7,9.0
2019-04-01,10:12,10:12 AM,103.52,103.48,103.505,103.48,103.502,1404.0,145316.58,9.0
2019-04-01,10:13,10:13 AM,103.51,103.405,103.5,103.405,103.48,738.0,76368.26,10.0
2019-04-01,10:14,10:14 AM,103.405,103.31,103.4,103.405,103.35,6823.0,705154.7,25.0
2019-04-01,10:15,10:15 AM,103.465,103.37,103.38,103.45,103.421,4085.0,422474.57,31.0
2019-04-01,10:16,10:16 AM,103.585,103.475,103.475,103.585,103.521,470.0,48654.7,5.0
2019-04-01,10:17,10:17 AM,103.64,103.575,103.575,103.61,103.608,442.0,45794.86,5.0
2019-04-01,10:18,10:18 AM,103.61,103.52,103.52,103.595,103.583,512.0,53034.7,6.0
2019-04-01,10:19,10:19 AM,103.76,103.69,103.7,103.76,103.722,549.0,56943.54,7.0
2019-04-01,10:20,10:20 AM,103.77,103.715,103.755,103.715,103.746,1144.0,118685.51,15.0
2019-04-01,10:21,10:21 AM,103.82,103.72,103.72,103.79,103.793,1786.0,185374.42,20.0
2019-04-01,10:22,10:22 AM,103.85,103.8,103.81,103.85,103.819,469.0,48691.2,6.0
2019-04-01,10:23,10:23 AM,103.88,103.78,103.88,103.8,103.845,1300.0,134999.0,11.0
2019-04-01,10:24,10:24 AM,103.775,103.595,103.775,103.61,103.674,2330.0,241559.8,26.0
2019-04-01,10:25,10:25 AM,103.74,103.62,103.63,103.7,103.675,1105.0,114561.28,18.0
2019-04-01,10:26,10:26 AM,103.725,103.68,103.72,103.68,103.695,620.0,64290.9,10.0
2019-04-01,10:27,10:27 AM,103.82,103.78,103.78,103.82,103.8,200.0,20760.0,2.0
2019-04-01,10:28,10:28 AM,103.895,103.775,103.78,103.88,103.838,1200.0,124605.2,12.0
2019-04-01,10:29,10:29 AM,103.95,103.86,103.89,103.94,103.902,912.0,94758.295,13.0
2019-04-01,10:30,10:30 AM,104.015,103.925,103.945,104.015,103.957,1739.0,180781.225,31.0
2019-04-01,10:31,10:31 AM,104.0,103.9,104.0,103.9,103.96,2158.0,224346.89,17.0
2019-04-01,10:32,10:32 AM,103.89,103.8,103.88,103.8,103.835,1869.0,194067.72,19.0
2019-04-01,10:33,10:33 AM,103.925,103.81,103.82,103.925,103.845,2100.0,218074.535,21.0
2019-04-01,10:34,10:34 AM,103.92,103.76,103.915,103.805,103.813,3609.0,374660.655,34.0
2019-04-01,10:35,10:35 AM,103.79,103.71,103.79,103.71,103.765,1120.0,116216.85,15.0
2019-04-01,10:36,10:36 AM,103.77,103.725,103.75,103.76,103.746,1810.0,187780.535,25.0
2019-04-01,10:37,10:37 AM,103.84,103.745,103.745,103.84,103.801,1531.0,158919.68,18.0
2019-04-01,10:38,10:38 AM,103.85,103.81,103.84,103.84,103.834,998.0,103626.82,10.0
2019-04-01,10:39,10:39 AM,103.83,103.78,103.83,103.78,103.805,700.0,72663.5,7.0
2019-04-01,10:40,10:40 AM,103.84,103.77,103.82,103.84,103.799,900.0,93419.515,10.0
2019-04-01,10:41,10:41 AM,103.83,103.73,103.83,103.73,103.805,1495.0,155188.0,17.0
2019-04-01,10:42,10:42 AM,103.89,103.82,103.82,103.89,103.843,300.0,31153.0,3.0
2019-04-01,10:43,10:43 AM,103.93,103.87,103.87,103.93,103.897,424.0,44052.32,5.0
2019-04-01,10:44,10:44 AM,103.96,103.93,103.93,103.94,103.946,508.0,52804.56,7.0
2019-04-01,10:45,10:45 AM,103.955,103.915,103.955,103.915,103.942,1600.0,166307.5,14.0
2019-04-01,10:46,10:46 AM,103.97,103.915,103.915,103.97,103.928,855.0,88858.89,11.0
2019-04-01,10:47,10:47 AM,104.04,103.96,103.96,104.04,103.983,832.0,86513.89,15.0
2019-04-01,10:48,10:48 AM,104.06,104.01,104.05,104.035,104.037,1323.0,137640.505,19.0
2019-04-01,10:49,10:49 AM,104.04,103.96,104.04,103.96,104.0,484.0,50336.04,7.0
2019-04-01,10:50,10:50 AM,104.03,103.98,103.98,104.025,104.003,506.0,52625.545,7.0
2019-04-01,10:51,10:51 AM,104.06,104.0,104.035,104.005,104.035,921.0,95816.5,10.0
2019-04-01,10:52,10:52 AM,104.05,104.0,104.03,104.03,104.021,1400.0,145629.0,13.0
2019-04-01,10:53,10:53 AM,104.02,103.98,104.01,103.98,104.004,600.0,62402.5,7.0
2019-04-01,10:54,10:54 AM,103.995,103.965,103.965,103.985,103.983,1211.0,125923.17,10.0
2019-04-01,10:55,10:55 AM,103.91,103.885,103.895,103.885,103.898,2145.0,222861.68,24.0
2019-04-01,10:56,10:56 AM,103.915,103.82,103.895,103.82,103.876,2200.0,228526.5,22.0
2019-04-01,10:57,10:57 AM,103.82,103.78,103.805,103.8,103.801,2510.0,260541.56,15.0
2019-04-01,10:58,10:58 AM,103.87,103.8,103.8,103.86,103.84,948.0,98440.21,11.0
2019-04-01,10:59,10:59 AM,103.92,103.88,103.88,103.895,103.895,673.0,69921.35,9.0
